Name,Currency_symbol,Inst_price_usd,Change_percent_1d,Change_percent_7d,Inst_price_btc,Inst_market_cap_plain,Volume_24h_usd_plain
NuBits,USNBT,0.02980,+983.64%,-26.16%,0.000000217009,92837.14645075327,67.70179113
Zetacoin,ZET,0.004087,+347.69%,+0.28%,0.00000002,136372.8332583128,0
SunContract,SNC,0.081567,+254.56%,+3.51%,0.000000592601,2832758.8959027203,392413.467878
PressOne,PRS,0.03499,+130.20%,+1.33%,0.00000063491,10232332.959888,0
PureVidz,VIDZ,0.000388,+104.11%,+0.29%,0.0000000100036,48821.90448965818,0
AI Doctor,AIDOC,0.000492,+101.87%,+8.77%,0.00000000205,62113.45276938253,0
LiteBitcoin,LBTCX,0.000261,+91.82%,+41.04%,0.00000001,11966.205898966,0
LiteBar,LTB,0.038387,+58.17%,0.00%,0.00001928,71820,0
Chronologic,DAY,0.28645,+53.71%,-1.29%,0.00000212886,103817.64174089962,0
Dinastycoin,DCY,0.001163,+53.37%,+2.57%,0.000000014067,0,37929.41270964
TrezarCoin,TZC,0.000582,+53.32%,+8.00%,0.0000000140051,144156.4412118755,125.08889032
Elacoin,ELC,0.04168,+44.63%,0.00%,0.00004929,189308,0
MobileGo,MGO,0.01201,+40.28%,+152.95%,0.000000308433,1201498.1723618596,67438.56771354
Acoin,ACOIN,0.006204,+36.33%,+0.29%,0.000000160058,7607.53236768017,0.05771332
Edgeless,EDG,0.02317,+32.71%,-0.09%,0.000000597959,2845314.944143737,75.93405096
Dash Green,DASHG,0.0027,+30.04%,+130.66%,0.000000069025,6186.424268001724,0
Hiveterminal Token,HVN,0.006204,+25.85%,-21.73%,0.000000145107,2826411.0302193346,20261.33224744
ATMChain,ATM,0.001379,+25.40%,+12.76%,0.00000001,605349.36606869,0
BABB,BAX,0.000300,+24.48%,-17.48%,0.00000000725998,14099667.321174454,169644.57791429
Nebulas,NAS,0.22877,+24.37%,+13.00%,0.00000548825,13202323.741590586,2159977.84364456
Restart Energy MWAT,MWAT,0.009091,+23.08%,+0.01%,0.000000167414,4094280.0435177,0
InsaneCoin,INSN,0.004653,+22.70%,+0.29%,0.000000120044,121712.37501710793,0
Blakecoin,BLC,0.001163,+22.65%,0.00%,0.00000000935861,9598.4671318923,0
Carboncoin,CARBON,0.0000507,+19.95%,+0.28%,0.00000001,5996142.860986016,0
Bottos,BTO,0.000954,+19.55%,-1.14%,0.0000000239253,508893.0088741461,45358.95081508
Hathor,HTR,0.3642,+19.37%,-17.46%,0.00000877781,78728416.68302383,4468759.7794585
Firo,FIRO,3.4600,+19.31%,+2.00%,0.0000839725,43097156.149312384,3400319.25997402
Internxt,INXT,9.9360,+19.15%,+4.85%,0.000238591,10403388.314775946,446491.74374109
Stealthcoin,XST,0.019581,+18.70%,+7.07%,0.00004241,11355976,17254.5
SafeMoon V2,SFM,0.0005628,+17.52%,-15.35%,0.0000000143611,0,3305926.85722849
Litecoin Plus,LCP,0.034316,+17.52%,+0.28%,0.0000007,75054.48031010358,0
Zap,ZAP,0.014153,+16.63%,-3.04%,0.000000319984,2943624.0541003156,35214.73290309
Litecoin Cash,LCC,0.006795,+16.53%,-7.18%,0.000000151144,4453594.003008439,846.04906676
BitCapitalVendor,BCV,0.000224,+15.68%,-0.61%,0.00000000413662,164563.22618888802,45162.58468228
Particl,PART,0.7270,+15.08%,+6.47%,0.0000187217,8827185.528507657,3313.04829309
Starlink,STARL,0.00000767,+14.99%,-23.31%,0.000000000199392,77513602.65360677,10512836.53827802
GXChain,GXS,1.5619,+13.66%,-10.69%,0.0000400044,116881457.90831694,1150816.03016061
Xaurum,XAUR,0.029275,+12.70%,-30.91%,0.000000620225,1719969.131713873,26361.82936131
Curecoin,CURE,0.03974,+12.69%,+2.14%,0.0000011,1095168.3852801584,1595.63470285
United Bitcoin,UBTC,0.7140,+12.09%,-18.94%,0.0000183559,0,172099.68417586
Sphere,SPHR,0.05836,+11.92%,+3.57%,0.00000159189,0,386.73383001
Fantom,FTM,0.7732,+11.59%,-22.65%,0.0000202206,2004744351.8535933,977135198.8762243
Genesis Vision,GVT,1.1197,+11.25%,+5.64%,0.00000826605,1425516.0943756432,6033.22581645
Velas,VLX,0.19023,+10.93%,+14.96%,0.00000473956,423696066.46395516,8570189.03502749
GoByte,GBX,0.00756,+10.64%,+6.18%,0.00000018,67139.40392309758,3144.57534921
Radicle,RAD,4.03,+10.64%,-4.66%,0.000102648,124268071.70676018,17215372.63900022
VeriCoin,VRC,0.00523,+10.35%,+10.31%,0.00000011,149992.82969129542,26.38581193
Electroneum,ETN,0.004944,+9.79%,-3.38%,0.000000124947,87218529.32410078,108245.17794579
Viacoin,VIA,0.07929,+9.76%,-2.02%,0.00000213,1922963.4446636376,2048.15949162
Feathercoin,FTC,0.011826,+9.42%,+35.16%,0.00000031,2857282.3059602235,3896.10149179
